"season_start_year","comp_url","country","n_pais","team_urls"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-river-plate/startseite/verein/209/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/racing-club/startseite/verein/1444/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-velez-sarsfield/startseite/verein/1029/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-estudiantes-de-la-plata/startseite/verein/288/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-talleres/startseite/verein/3938/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-rosario-central/startseite/verein/1418/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-san-lorenzo-de-almagro/startseite/verein/1775/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/ca-belgrano/startseite/verein/2417/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-independiente/startseite/verein/1234/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/argentinos-juniors/startseite/verein/1030/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/defensa-y-justicia/startseite/verein/2402/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-lanus/startseite/verein/333/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/instituto-ac-cordoba/startseite/verein/1829/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-tigre/startseite/verein/11831/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-deportivo-godoy-cruz-antonio-tomba/startseite/verein/12574/saison_id/2024"
2024,"https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/ARG1","Argentina",2,"https://www.transfermarkt.com/club-atletico-huracan/startseite/verein/2063/saison_id/2024"
